id,HomeTeam,AwayTeam,Unnamed: 0,HTP,ATP,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W,HTGD,ATGD,DiffFormPts
65,Middlesbrough,Aston Villa,65,-0.663722546,0.112677707,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.013971657,0.185193602,-0.714285714
66,Newcastle,Charlton,66,0.414144463,-0.160399519,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.219953599,-0.020983199,0.714285714
67,Tottenham,Man City,67,0.414144463,-0.433476746,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.219953599,-0.639513603,0
68,Leicester,Everton,68,1.492011469,-0.433476746,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1.043881368,-0.22716,0.857142857
69,Aston Villa,Derby,69,0.144677711,-1.252708424,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0.219953599,-0.433336801,0.714285714
70,Charlton,Coventry,70,0.31309443,-0.672419318,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.194205856,-1.103411404,0.5
71,Everton,Ipswich,71,-0.394255794,-0.433476746,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,-0.166262543,-0.381792601,-0.25
72,Leeds,Tottenham,72,0.31309443,0.283350972,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.374440056,0.159421502,-0.25
73,Man City,Newcastle,73,-0.394255794,0.0444084,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.526730942,-0.020983199,-0.25
74,Southampton,Middlesbrough,74,-0.158472386,-0.672419318,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.194205856,-0.020983199,0.625
75,West Ham,Bradford,75,-0.86582261,-1.150304463,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.166262543,-1.464220806,0.5
76,Arsenal,Man United,76,0.548877838,1.239121262,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.734908455,2.324277912,-0.25
77,Chelsea,Liverpool,77,-0.630039202,0.522293545,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-0.346496743,0.339826203,-0.625
78,Sunderland,Leicester,78,-0.394255794,1.239121262,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.706965142,0.881040305,-0.75
79,Arsenal,Aston Villa,79,0.548877838,0.522293545,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.734908455,0.700635604,-0.125
80,Coventry,Tottenham,80,-0.603841045,-0.00868995,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-0.947277409,-0.020983199,-0.555555556
81,Everton,Southampton,81,-0.603841045,-0.433476746,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.626861053,-0.181342933,-0.333333333
82,Ipswich,West Ham,82,0.024914709,-0.858263541,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.174179834,-0.181342933,0.111111111
83,Leeds,Charlton,83,0.653670464,0.203703447,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.654804366,0.139376535,-0.111111111
84,Leicester,Man United,84,1.072840967,0.840883642,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.815012545,1.90333361,0.111111111
85,Man City,Bradford,85,-0.603841045,-1.070656938,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-0.626861053,-1.303861072,0.333333333
86,Sunderland,Chelsea,86,-0.394255794,-0.221083348,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,-0.626861053,0.139376535,0
87,Derby,Liverpool,87,-1.232596799,0.203703447,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.787069231,-0.181342933,-0.555555556
